企業名,店コード,店名,実績期間FROM,実績期間TO,ゴンドラコード,ゴンドラ名,総売上金額合計,定番売上金額合計,定番売上金額,定番10CM当り売上,総売上金額,定番荒利金額,総荒利金額
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1903,一般食品  ,346778842,300133873,236256,2620,236256,60617,60617
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1904,一般食品  ,346778842,300133873,822911,9140,822911,217003,217003
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1905,一般食品  ,346778842,300133873,517413,5740,517413,133455,133455
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1906,一般食品  ,346778842,300133873,177413,1970,177413,46673,46673
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1907,一般食品  ,346778842,300133873,370567,4110,370567,98935,98935
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1908,一般食品  ,346778842,300133873,334211,3710,374108,82830,86054
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1909,一般食品  ,346778842,300133873,325915,3620,389995,74028,76908
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1910,一般食品  ,346778842,300133873,396525,4400,485526,87800,94093
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1911,一般食品  ,346778842,300133873,227121,2520,241799,45210,45866
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1912,一般食品  ,346778842,300133873,174346,1930,174346,37194,37194
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1913,一般食品  ,346778842,300133873,128542,1420,128542,30098,30098
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1914,一般食品  ,346778842,300133873,334536,3710,493751,62389,73841
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1915,一般食品  ,346778842,300133873,296961,3290,322878,62108,61456
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1916,一般食品  ,346778842,300133873,515421,5720,609907,127233,139937
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1917,一般食品  ,346778842,300133873,195326,2170,195326,41016,41016
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1918,一般食品  ,346778842,300133873,160790,1780,160790,28327,28327
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1919,一般食品  ,346778842,300133873,297489,3300,297489,66571,66571
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1920,一般食品  ,346778842,300133873,257830,2860,257830,58229,58229
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1921,一般食品  ,346778842,300133873,312612,3470,312612,74338,74338
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1922,一般食品  ,346778842,300133873,525277,5830,525277,111932,111932
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1923,一般食品  ,346778842,300133873,844821,9380,1104057,165433,175849
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1924,一般食品  ,346778842,300133873,740220,8220,810412,145658,150250
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1925,一般食品  ,346778842,300133873,386075,4280,386075,89056,89056
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1926,一般食品  ,346778842,300133873,443448,4920,443448,106294,106294
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1927,一般食品  ,346778842,300133873,298586,3310,298586,63038,63038
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1929,一般食品  ,346778842,300133873,15429,170,15429,3942,3942
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2000,一般食品  ,346778842,300133873,40960,450,40960,10435,10435
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2002,米        ,346778842,300133873,1143650,12700,1143650,120850,120850
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2003,米        ,346778842,300133873,464810,5160,464810,59730,59730
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2004,米        ,346778842,300133873,25740,280,25740,3900,3900
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2005,米        ,346778842,300133873,3458526,38420,3458526,414771,414771
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2006,米        ,346778842,300133873,2509656,27880,2509656,368563,368563
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2007,米        ,346778842,300133873,387784,4300,387784,53646,53646
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2008,一般食品  ,346778842,300133873,1220150,13550,1220150,283444,283444
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2009,一般食品  ,346778842,300133873,502558,5580,502558,115142,115142
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2010,一般食品  ,346778842,300133873,166938,1850,187525,34151,34708
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2011,一般食品  ,346778842,300133873,129289,1430,129289,26576,26576
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2012,一般食品  ,346778842,300133873,128713,1430,128713,27751,27751
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2013,一般食品  ,346778842,300133873,462622,5140,529481,80212,76845
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2014,一般食品  ,346778842,300133873,265974,290,379879,57256,65616
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2015,一般食品  ,346778842,300133873,151858,1680,254436,28123,32433
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2016,一般食品  ,346778842,300133873,434633,4820,434633,102494,102494
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2017,一般食品  ,346778842,300133873,241524,2680,369666,53674,57742
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2018,一般食品  ,346778842,300133873,219579,2430,219579,11886,11886
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2019,一般食品  ,346778842,300133873,251931,2790,251931,53813,53813
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2020,一般食品  ,346778842,300133873,151136,1670,151136,32010,32010
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2021,一般食品  ,346778842,300133873,214426,2380,328818,45577,51369
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2022,一般食品  ,346778842,300133873,180084,2000,180084,43496,43496
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2024,一般食品  ,346778842,300133873,358889,3980,779421,93072,127670
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2025,一般食品  ,346778842,300133873,518829,5760,898657,129363,163122
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2026,一般食品  ,346778842,300133873,751572,8350,1231694,178524,192269
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2027,一般食品  ,346778842,300133873,623243,6920,1014179,152327,213479
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2030,一般食品  ,346778842,300133873,60542,670,60542,15952,15952
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2100,一般食品  ,346778842,300133873,61616,680,61616,13409,13409
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2102,一般食品  ,346778842,300133873,148088,1640,148088,34351,34351
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2103,一般食品  ,346778842,300133873,186628,2070,186628,35230,35230
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2104,一般食品  ,346778842,300133873,116931,1290,116931,26239,26239
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2105,一般食品  ,346778842,300133873,107595,1190,107595,21519,21519
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2106,一般食品  ,346778842,300133873,170480,1890,311171,26409,26604
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2107,一般食品  ,346778842,300133873,304392,3380,507132,50400,54120
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2108,一般食品  ,346778842,300133873,9420,100,9420,2050,2050
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2109,一般食品  ,346778842,300133873,137508,1520,137508,28108,28108
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2110,一般食品  ,346778842,300133873,175673,1950,175673,39445,39445
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2111,一般食品  ,346778842,300133873,315622,3500,797620,44466,88686
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2112,一般食品  ,346778842,300133873,245711,2730,245711,28450,28450
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2113,一般食品  ,346778842,300133873,237768,2640,237768,38980,38980
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2114,一般食品  ,346778842,300133873,239072,2650,536745,40057,46595
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2115,一般食品  ,346778842,300133873,188918,2090,306638,30815,32975
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2116,一般食品  ,346778842,300133873,146192,1620,206590,24009,27942
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2117,一般食品  ,346778842,300133873,177534,1970,533026,30379,40837
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2120,一般食品  ,346778842,300133873,149167,1650,170971,28796,29270
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2121,一般食品  ,346778842,300133873,288404,3200,496008,44035,43905
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2122,一般食品  ,346778842,300133873,213958,2370,213958,48297,48297
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2123,一般食品  ,346778842,300133873,388602,4310,1105604,70571,96949
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2124,一般食品  ,346778842,300133873,205744,2280,205744,39535,39535
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2125,一般食品  ,346778842,300133873,331792,3680,331792,48006,48006
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2126,一般食品  ,346778842,300133873,401511,4460,433017,94837,95899
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2127,一般食品  ,346778842,300133873,274768,3050,443913,61853,72133
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2129,一般食品  ,346778842,300133873,21970,240,21970,5938,5938
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2200,飲料      ,346778842,300133873,44194,490,44194,10419,10419
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2202,飲料      ,346778842,300133873,159143,1760,159143,35162,35162
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2203,飲料      ,346778842,300133873,137121,1520,137121,26365,26365
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2204,飲料      ,346778842,300133873,364613,4050,364613,55774,55774
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2205,飲料      ,346778842,300133873,333430,3700,333430,47965,47965
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2206,飲料      ,346778842,300133873,325748,3610,325748,35260,35260
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2207,飲料      ,346778842,300133873,114946,1270,151450,14751,16263
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,2208,飲料      ,346778842,300133873,212634,2360,212634,35418,35418
